address,bed_room_location_privacy,beds,challenging_behaviors,city,funding_type,nursing_support,overnight_supervision,phone_number,physical_accommodations,profile_id,provider,state,type_of_home,typical_staffing_pattern,updated,url
3005 Mary Court,Upstairs /,2,"Self Injurious, Verbal Aggression, Physical Aggression, Elopement, Alcohol / Chemical Dependency, Positive Support Transition Plan",Maplewood,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,612-703-9358,Bathroom Hand Rails,3812,"Careservices, LLC",MN,"CRS/Formerly SLS, ICF, SILS, In-Home",1:2,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=3812
XXXX Minnehaha Ave East,"Main Floor, Basement /",2,,St Paul,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Awake,651 330 6821,"Wheelchair, Ramp, Hospital Bed, Stair Lift, Bathroom Hand Rails",4904,Minnehaha Residence,MN,"CRS/Formerly SLS, In-Home",1:3,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=4904
7145 Stevens Avenue,"Main Floor, Basement, Upstairs /",4,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Richfield,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Awake,507-271-1595,"Hoyer Lift, Bathroom Hand Rails",5411,"HEARTLAND HOME HEALTH, LLC",MN,In-Home,1:3,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=5411
8119 Upton Ave S,Main Floor /,2,"Self Injurious, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Bloomington,"CADI Waiver, TBI, Elderly Waiver, Private Pay",On Site,Awake,6122037090,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Stair Lift, Bathroom Hand Rails",4301,Universal Healthcare Solutions,MN,"CRS/Formerly SLS, SILS, Respite, Temporary Care, Out of Metro Crisis Bed",1:2,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=4301
8910 Cambridge Ave N,"Main Floor, Basement /",5,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Brooklyn Park,"DD Waiver, CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,7633501065,"Wheelchair, Hoyer Lift, Hospital Bed",5496,North Star Supportive Services,MN,"CRS/Formerly SLS, ICF, Foster Care, SILS, In-Home, Respite, Out of Metro Crisis Bed",2:4,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=5496
228 Columbine lane,"Main Floor, Basement, Upstairs /",2,"Verbal Aggression, Physical Aggression, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",shakopee,"CADI Waiver, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,9525645165,Bathroom Hand Rails,5429,SunLight Health Services,MN,In-Home,1:2,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=5429
17838 Oakland DR NE,Main Floor /,2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Ham Lake,"DD Waiver, CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,612-516-3999,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Bathroom Hand Rails",5347,OAKLAND ASSISTED LIVING/PDN,MN,In-Home,2:4,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=5347
18315 82ND PLACE NORTH,"Basement, Upstairs /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Maple Grove,"DD Waiver, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,9522015712,Bathroom Hand Rails,5395,KEKELI CARE CENTER LLC,MN,CRS/Formerly SLS,1:2,"Jul 27, 2023",https://mnopenings.org/profile/housing/?profile=5395
7144 Lakeshore Dr  MN 55423,"Basement, Upstairs /",2,"Verbal Aggression, Physical Aggression, Property Destruction, Positive Support Transition Plan",Richfield,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,(763)4642346,"Stair Lift, Bathroom Hand Rails",4102,Moonlight Home Health Care LLC,MN,In-Home,1:1,"Jul 26, 2023",https://mnopenings.org/profile/housing/?profile=4102
500 W Roselawn,"Basement, Upstairs /",2,"Verbal Aggression, Elopement, Alcohol / Chemical Dependency, Positive Support Transition Plan",Rosevile,"CAC, CADI Waiver, TBI, Private Pay, Medical Assistance",On Site,Awake,6513152649,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Stair Lift, Bathroom Hand Rails",3494,Midwest Residential,MN,"CRS/Formerly SLS, SILS, Out of Metro Crisis Bed",1:3,"Jul 26, 2023",https://mnopenings.org/profile/housing/?profile=3494
421 Hemlock dr,"Main Floor, Basement /",2,"Verbal Aggression, Elopement",Burnsville,"CAC, CADI Waiver, TBI, Private Pay",On Site,Awake,6513152649,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Stair Lift, Bathroom Hand Rails",5011,Midwest Residential,MN,CRS/Formerly SLS,1:3,"Jul 26, 2023",https://mnopenings.org/profile/housing/?profile=5011
2216 Maple Ln E,"Main Floor, Basement /",5,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Saint Paul,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Awake,6513218871,Bathroom Hand Rails,4756,Lifepoint Home LLC,MN,"CRS/Formerly SLS, ICF, Foster Care, SILS, In-Home, Out of Metro Crisis Bed",1:2,"Jul 26, 2023",https://mnopenings.org/profile/housing/?profile=4756
7421 13TH AVE S,Basement /,2,"Self Injurious, Verbal Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure",Richfield,"CADI Waiver, Elderly Waiver",On Site,Awake,612-978-2238,"Wheelchair, Ramp, Bathroom Hand Rails",3955,Residential Care At Nine Mile Creek,MN,In-Home,1:3,"Jul 26, 2023",https://mnopenings.org/profile/housing/?profile=3955
2551 115TH AVENUE NW,Basement /,1,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Positive Support Transition Plan",Coon Rapids,"CADI Waiver, TBI, Private Pay, Medical Assistance",On Site,Awake,7632451520,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Stair Lift, Bathroom Hand Rails",4440,Bimsol homecare LLC 55+,MN,"CRS/Formerly SLS, SILS, In-Home",2:4,"Jul 26, 2023",https://mnopenings.org/profile/housing/?profile=4440
5542 Unity avenue N,"Main Floor, Basement /",5,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Crystal,"CADI Waiver, TBI, Private Pay, Medical Assistance",On Site,Awake,763-245-1520,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Stair Lift, Bathroom Hand Rails",5425,Bimsol homecare LLC 55+,MN,"CRS/Formerly SLS, SILS, In-Home",2:4,"Jul 26, 2023",https://mnopenings.org/profile/housing/?profile=5425
6264 SUNRISE TERRACE,"Main Floor, Basement, Upstairs /",1,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Positive Support Transition Plan",Brooklyn Park,"DD Waiver, CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,612-9868097,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Bathroom Hand Rails",2804,MN BEST HOME CARE,MN,"CRS/Formerly SLS, ICF, SILS, Respite, Temporary Care, Out of Metro Crisis Bed",1:2,"Jul 25, 2023",https://mnopenings.org/profile/housing/?profile=2804
9737 3rd Street NE,"Main Floor, Basement, Upstairs /",1,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Alcohol / Chemical Dependency, Positive Support Transition Plan",Blaine,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,612-9868097,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Bathroom Hand Rails",3435,MN BEST HOME CARE,MN,"In-Home, Respite, Temporary Care, Out of Metro Crisis Bed",1:2,"Jul 25, 2023",https://mnopenings.org/profile/housing/?profile=3435
7064 158th St W,"Main Floor, Basement, Upstairs /",5,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Apple Valley,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,952-457-0741,"Wheelchair, Ramp, Stair Lift, Bathroom Hand Rails",5247,Harmony Homes & Services LLC (55+),MN,"CRS/Formerly SLS, SILS, In-Home",1:2,"Jul 25, 2023",https://mnopenings.org/profile/housing/?profile=5247
1830 Birmingham St (Low Rent),"Main Floor, Basement /",5,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Saint Paul,"CADI Waiver, Elderly Waiver, Medical Assistance",On Call,Awake,612-227-7192,"Wheelchair, Ramp, Stair Lift, Bathroom Hand Rails",5305,"Help Home Care, LLC",MN,"CRS/Formerly SLS, In-Home",1:3,"Jul 25, 2023",https://mnopenings.org/profile/housing/?profile=5305
125 Hartman Cir NE,"Main Floor, Basement /",2,"Self Injurious, Verbal Aggression, Property Destruction, Alcohol / Chemical Dependency, Positive Support Transition Plan",Fridley,"CAC, CADI Waiver, TBI, Private Pay, Medical Assistance",On Site,Awake,415-531-9296,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Bathroom Hand Rails",3902,Bright Path Homes,MN,CRS/Formerly SLS,1:2,"Jul 25, 2023",https://mnopenings.org/profile/housing/?profile=3902
6600 - 6604 Central Ave. NE,"Main Floor, Basement /",3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Alcohol / Chemical Dependency",Fridley,"CAC, CADI Waiver, TBI, Private Pay",On Site,Awake,952-658-6176,"Wheelchair, Hoyer Lift, Ramp, Bathroom Hand Rails",4243,Bright Path Homes,MN,"CRS/Formerly SLS, SILS",1:2,"Jul 25, 2023",https://mnopenings.org/profile/housing/?profile=4243
81,"Main Floor, Basement /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Blaine,"DD Waiver, CAC, CADI Waiver, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,7634393762,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Stair Lift, Bathroom Hand Rails",5047,EE&E Sisters Caring Home,MN,"CRS/Formerly SLS, ICF, Foster Care, In-Home, Respite, Temporary Care, Out of Metro Crisis Bed",1:2,"Jul 25, 2023",https://mnopenings.org/profile/housing/?profile=5047
9517 Chicago Ave S,"Main Floor, Basement /",3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Bloomington,"CADI Waiver, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,952-831-1111,Bathroom Hand Rails,5451,Sunshine Assisted Living LLC,MN,"CRS/Formerly SLS, SILS, In-Home",1:3,"Jul 24, 2023",https://mnopenings.org/profile/housing/?profile=5451
1067 12th Ave SE,"Main Floor, Upstairs /",1,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Minneapolis,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,612-578-1104,Hospital Bed,4873,A to Z Group Homes LLC,MN,"CRS/Formerly SLS, Foster Care, SILS, In-Home, Respite, Temporary Care",1:2,"Jul 24, 2023",https://mnopenings.org/profile/housing/?profile=4873
277 Coon Rapids Blvd,"Main Floor, Basement /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Minneapolis,"DD Waiver, CAC, CADI Waiver, Elderly Waiver, Private Pay, Medical Assistance",On Call,Awake,612-888-5040,,4245,Green Lakes Homes,MN,"CRS/Formerly SLS, SILS, In-Home, Respite, Out of Metro Crisis Bed",1:3,"Jul 24, 2023",https://mnopenings.org/profile/housing/?profile=4245
850 98th Ave NW,Main Floor /,1,,Coon Rapids,"CADI Waiver, TBI, Private Pay",On Call,Awake,763-274-8473,"Wheelchair, Hoyer Lift, Ramp, Bathroom Hand Rails",1026,Mary T. Inc.,MN,CRS/Formerly SLS,1:3,"Jul 24, 2023",https://mnopenings.org/profile/housing/?profile=1026
1177 117th Ave NW,Main Floor /,2,,Coon Rapids,"CADI Waiver, TBI, Elderly Waiver, Private Pay",On Call,Awake,763-274-8473,"Wheelchair, Bathroom Hand Rails",1029,Mary T. Inc.,MN,Foster Care,1:3,"Jul 24, 2023",https://mnopenings.org/profile/housing/?profile=1029
1009 82nd Ave N,Main Floor /,1,,Brooklyn Park,"DD Waiver, CADI Waiver, TBI",On Site,Awake,763-274-8473,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed",1010,Mary T. Inc.,MN,CRS/Formerly SLS,2:4,"Jul 24, 2023",https://mnopenings.org/profile/housing/?profile=1010
9020 Colfax Ave. S.,Main Floor /,1,,Bloomington,DD Waiver,On Call,Awake,763-274-8473,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Bathroom Hand Rails",1025,Mary T. Inc.,MN,"CRS/Formerly SLS, Foster Care",2:4,"Jul 24, 2023",https://mnopenings.org/profile/housing/?profile=1025
Kell Avenue,Basement /,1,,Bloomington,Medical Assistance,Weekly Visit,Sleep,763-274-8473,,1000,Mary T. Inc.,MN,ICF,2:4,"Jul 24, 2023",https://mnopenings.org/profile/housing/?profile=1000
7350 Ridgeway Road,Main Floor /,1,,Golden Valley,Medical Assistance,Weekly Visit,Awake,763-274-8473,"Wheelchair, Ramp",1008,Mary T. Inc.,MN,ICF,2:4,"Jul 24, 2023",https://mnopenings.org/profile/housing/?profile=1008
5555 Westbrook Rd.,,1,Elopement,Golden Valley,Medical Assistance,Weekly Visit,Awake,763-274-8473,Hospital Bed,1003,Mary T. Inc.,MN,ICF,2:4,"Jul 24, 2023",https://mnopenings.org/profile/housing/?profile=1003
9911 13th Ave S,Main Floor /,2,Property Destruction,Bloomington,Medical Assistance,Weekly Visit,Awake,763-274-8473,"Wheelchair, Ramp, Bathroom Hand Rails",1012,Mary T. Inc.,MN,ICF,2:4,"Jul 24, 2023",https://mnopenings.org/profile/housing/?profile=1012
7732 Drew Ave N,"Main Floor, Upstairs /",5,Positive Support Transition Plan,Brooklyn Park,CADI Waiver,On Site,Awake,+1(763) 381-7595,"Wheelchair, Hoyer Lift, Ramp, Stair Lift, Bathroom Hand Rails",5263,COMPASSION CONNECT LUXURY HOMES 55+ CADI,MN,CRS/Formerly SLS,1:1,"Jul 23, 2023",https://mnopenings.org/profile/housing/?profile=5263
(CALL NOW FIRST 2 MONTHS RENT FREE) 3201 W 84th St,Main Floor /,3,,Bloomington,"CADI Waiver, Private Pay, Medical Assistance",On Call,Awake,+1(763) 381-7595,"Wheelchair, Ramp, Hospital Bed, Bathroom Hand Rails",4326,COMPASSION CONNECT LUXURY HOMES 55+ CADI,MN,"CRS/Formerly SLS, In-Home",1:2,"Jul 23, 2023",https://mnopenings.org/profile/housing/?profile=4326
3538 Fremont Ave,"Main Floor, Basement, Upstairs /",1,"Self Injurious, Verbal Aggression, Property Destruction, Elopement, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Minneapolis,"CADI Waiver, TBI, Elderly Waiver, Medical Assistance",Weekly Visit,Awake,651-278-5666,"Wheelchair, Ramp, Bathroom Hand Rails",4051,Grace Group Home LLC,MN,"CRS/Formerly SLS, Foster Care, SILS, In-Home, Respite",1:2,"Jul 22, 2023",https://mnopenings.org/profile/housing/?profile=4051
2435 15th Ave S,"Main Floor, Upstairs /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Minneapolis,"CADI Waiver, TBI, Private Pay, Medical Assistance",On Site,Awake,612-224-4343,"Ramp, Bathroom Hand Rails",5127,Kubra Home Care Inc,MN,"CRS/Formerly SLS, ICF, Foster Care, SILS",1:3,"Jul 22, 2023",https://mnopenings.org/profile/housing/?profile=5127
5681 277th St,"Main Floor, Basement /",1,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Wyoming,"DD Waiver, CAC, CADI Waiver, TBI, Private Pay, Medical Assistance",On Site,Awake,6514286727,"Ramp, Hospital Bed, Bathroom Hand Rails",4244,Pine Branch LLC,MN,"CRS/Formerly SLS, ICF, Foster Care, SILS, In-Home, Respite, Out of Metro Crisis Bed",,"Jul 22, 2023",https://mnopenings.org/profile/housing/?profile=4244
7040 Louisiana Avenue north,"Main Floor, Basement, Upstairs /",3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Alcohol / Chemical Dependency, Positive Support Transition Plan",Brooklyn Park,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,704-680-0170,"Wheelchair, Hospital Bed, Stair Lift, Bathroom Hand Rails",4892,Universal home health of MN LLC,MN,"CRS/Formerly SLS, In-Home",1:2,"Jul 22, 2023",https://mnopenings.org/profile/housing/?profile=4892
2717 Cedar Ln,"Main Floor, Upstairs /",3,"Self Injurious, Verbal Aggression, Property Destruction, Elopement, Alcohol / Chemical Dependency, Positive Support Transition Plan",Burnsville,"CADI Waiver, Elderly Waiver, Private Pay, Medical Assistance",On Call,Awake,480-600-8999,"Hospital Bed, Bathroom Hand Rails",3531,MorningStar Care Services LLC,MN,"CRS/Formerly SLS, SILS, In-Home, Respite",1:2,"Jul 21, 2023",https://mnopenings.org/profile/housing/?profile=3531
7548 N Fremont Ave,"Main Floor, Basement, Upstairs /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",BROOKLYN PARK,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Awake,612) 440-7533,,4080,Warm touch home care,MN,"In-Home, Temporary Care",1:3,"Jul 21, 2023",https://mnopenings.org/profile/housing/?profile=4080
8424 Clinton Ave S,"Main Floor, Basement /",3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Positive Support Transition Plan",Bloomington,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,6125325512,"Wheelchair, Ramp, Hospital Bed, Bathroom Hand Rails",5199,Rise Residential Services (55+),MN,ICF,2:4,"Jul 21, 2023",https://mnopenings.org/profile/housing/?profile=5199
3751 Ridge Avenue,"Basement, Upstairs /",2,"Self Injurious, Physical Aggression, Alcohol / Chemical Dependency, Positive Support Transition Plan",Anoka,"DD Waiver, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Call,Awake,(515) 918-3955,"Wheelchair, Hoyer Lift, Ramp, Bathroom Hand Rails",5028,Mount Zion Care Services LLC,MN,"SILS, In-Home",1:3,"Jul 21, 2023",https://mnopenings.org/profile/housing/?profile=5028
14755 91st PI N,"Main Floor, Basement /",2,"Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Positive Support Transition Plan",Maple Grove,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,612-845-1908,"Wheelchair, Ramp, Hospital Bed, Stair Lift, Bathroom Hand Rails",4918,Uplift Home Care Services LLC,MN,"CRS/Formerly SLS, In-Home, Respite, Temporary Care, Out of Metro Crisis Bed",1:2,"Jul 21, 2023",https://mnopenings.org/profile/housing/?profile=4918
10115 Grouse St NW,"Main Floor, Upstairs /",4,"Self Injurious, Verbal Aggression, Elopement, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Coonrapids,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",,Awake,763-257-7476,Bathroom Hand Rails,5243,NEW LIFE CARE                  (18 years + ),MN,In-Home,1:2,"Jul 21, 2023",https://mnopenings.org/profile/housing/?profile=5243
